relative_path,bytes,sha256
README.md,3708,c37ad3c2d24acfdf86dd8e914f585fe8a86fab2b0b21cb0efff4033ead62e872
CODEX.md,5521,747ba5df1185b8301b2a0b6b33fd51023a95bcab424543ae693b2fea0a4d3118
PROJECT_STATE.md,2072,85eef73b7c7ad0dee595274c6567091153f3808f238c7f1e453936375ac1aa8c
tasks/CODEX_CYCLE_01.md,2770,d0f1fabfd97651315b4b0ec621e2d10e063de5e5eb4d18cd4f5c81047feaaf8f
requirements-cycle01.txt,76,109d76871b941c73d4ead7b7fd0a314739ecb79ea03ba9fa86ce47b283be5901
outputs/cycle01/BASELINE_SEARCH.md,691,adf29e4fb93f767ce18456100d60f561f7f076eb6ed7a3521e422c9a696067a8
outputs/cycle01/EDITORIAL_RECOMMENDATION.md,802,adfd86188eff9ba7b1a6b27cf4ec10b70783cdba1a8fcab7019c5e7039cda82e
outputs/cycle01/KEEP_HOLD_REMOVE.md,2719,d8a7a0470bc12da0a03757053939079ed637ffda29dac84d2def19c7298f210b
outputs/cycle01/README.md,542,112a9c9186b3883320c32c34bbe950fb1552f51298e5aedfe765d42bf7e36d2c
outputs/cycle01/SCIENTIFIC_CHANGELOG.md,919,0678c8331e407ec87940aaea76f6e080c6790f106082246e22112791cf26b258
outputs/cycle01/admission_report.md,6857,54a8faa3fd145441920c0dd86065461338d05d3e0acaa8a5fb433d27a5698a47
outputs/cycle01/admission_summary.json,3483,1ef7a0ebddb7a9fb1e42d177780c4004bbf01698455eed568c9763bae376f26d
outputs/cycle01/candidate_campaigns.csv,3309,86e9b1f554e11d720d61a60170bb2e1707b5fdd38355f857263ad88514208c45
outputs/cycle01/reproduction.md,1443,bba7be20dcd5975aa287e740c8a13a91c7f68179a6597e286ce5fef947e97a71
outputs/cycle01/source_inventory.csv,5448,30eb9567f241111851dc8be84a6bf3e11ed95aacac98734fc823b066420837f0
scripts/validate_cycle01_evidence.py,4932,6cba82209d3beeddfe146688ea9b6ede0aa3a8985c899579d0c065e57423f549
scripts/fetch_cycle01_sources.py,2439,3e0f297928899e9c7a4ee3748abd0b19080b54583030b50f78cf7f4467599fb7
scripts/build_cycle01_package.py,2978,b72d31eaa1815b91ff1de4a1e1dc5561b3d999854ef8785ddb07a6f28ba11639
tests/test_cycle01_evidence.py,3511,9c45e21ea3f2d1a26bd22427901a405052a18a7b29efa3d2c75ed7b57ec12353
