site,system,date,cmb_row_status,report_pages,pm25_mass,sulfate,sulfate_se,ammonium_nitrate,ammonium_nitrate_se,no2_fuel_oil,no2_fuel_oil_se,autos,autos_se,diesel,diesel_se,wood_smoke,wood_smoke_se
state_building,epa,2008-11-08,valid,110-111,40.0,4.7,0.6,2.8,0.6,,,0.0,0.0,2.3,1.1,27.0,3.6
state_building,epa,2008-11-11,valid,110-111,31.9,3.6,0.4,2.0,0.5,,,10.7,3.2,0.0,0.0,17.2,2.6
state_building,epa,2008-11-14,valid,110-111,52.1,8.8,1.1,4.5,1.1,,,14.6,5.9,0.0,0.0,26.2,4.2
state_building,epa,2008-11-17,valid,110-111,20.7,2.7,0.3,2.0,0.4,,,0.0,0.0,0.0,0.0,15.4,2.0
state_building,epa,2008-11-20,valid,110-111,16.8,3.0,0.4,1.2,0.5,,,2.7,1.3,0.0,0.0,11.7,2.0
state_building,epa,2008-11-23,valid,110-111,23.4,3.6,0.4,2.1,0.6,,,0.0,0.0,2.8,1.0,14.6,2.2
state_building,epa,2008-11-26,valid,110-111,22.0,3.0,0.5,1.5,0.6,,,4.0,1.5,0.0,0.0,13.5,2.3
state_building,epa,2008-11-29,valid,110-111,16.4,2.3,0.3,1.6,0.3,,,0.0,0.0,0.0,0.0,12.0,1.6
state_building,epa,2008-12-02,valid,110-111,47.0,10.5,1.3,3.2,1.3,,,0.0,0.0,0.0,0.0,28.1,3.8
state_building,epa,2008-12-05,valid,110-111,31.0,4.1,0.5,2.2,0.5,,,11.1,3.4,0.0,0.0,15.5,2.5
state_building,epa,2008-12-08,no_or_incomplete_cmb_dataset,110-111,,,,,,,,,,,,,
state_building,epa,2008-12-11,valid,110-111,18.9,2.9,0.4,1.5,0.5,,,2.6,1.3,0.0,0.0,12.5,2.1
state_building,epa,2008-12-14,valid,110-111,39.0,7.0,0.9,3.0,0.9,,,0.0,0.0,0.0,0.0,24.2,3.1
state_building,epa,2008-12-17,valid,110-111,34.9,7.3,0.9,2.3,0.9,,,0.0,0.0,3.1,1.5,21.4,3.0
state_building,epa,2008-12-20,valid,110-111,26.1,4.3,0.5,2.6,0.6,,,0.0,0.0,0.0,0.0,18.0,2.4
state_building,epa,2008-12-23,valid,110-111,47.5,5.5,0.7,2.8,0.7,,,0.0,0.0,0.0,0.0,38.5,3.3
state_building,epa,2008-12-26,valid,110-111,15.9,2.6,0.4,1.1,0.6,,,3.6,1.4,0.0,0.0,9.0,1.8
state_building,epa,2008-12-29,valid,110-111,66.0,28.8,3.5,2.4,3.7,,,0.0,0.0,0.0,0.0,55.2,6.5
state_building,epa,2009-01-01,valid,110-111,28.2,5.2,0.6,2.2,0.7,,,0.0,0.0,0.0,0.0,18.2,2.4
state_building,epa,2009-01-04,valid,110-111,37.3,6.8,0.8,1.9,0.8,,,10.2,4.7,0.0,0.0,20.1,3.2
state_building,epa,2009-01-07,valid,110-111,63.7,17.6,2.2,4.0,2.2,,,0.0,0.0,0.0,0.0,35.2,5.0
state_building,epa,2009-01-10,valid,110-111,56.7,16.1,2.0,3.7,2.0,,,0.0,0.0,0.0,0.0,33.5,4.7
state_building,epa,2009-01-13,valid,110-111,31.4,5.9,0.8,3.3,1.0,,,5.4,2.3,0.0,0.0,17.6,3.1
state_building,epa,2009-01-16,mass_too_small_for_cmb,110-111,2.3,,,,,,,,,,,,
state_building,epa,2009-01-19,valid,110-111,8.2,1.7,0.2,1.4,0.2,,,0.0,0.0,0.0,0.0,3.9,0.7
state_building,epa,2009-01-22,valid,110-111,6.4,1.4,0.2,0.5,0.2,,,0.0,0.0,0.0,0.0,5.1,0.8
state_building,epa,2009-01-25,valid,110-111,26.7,4.3,0.5,3.7,0.6,,,0.0,0.0,0.0,0.0,18.2,2.4
state_building,epa,2009-01-28,valid,110-111,31.5,8.3,1.0,2.5,1.0,,,0.0,0.0,0.0,0.0,20.1,2.8
state_building,epa,2009-01-31,valid,110-111,13.4,3.0,0.4,1.3,0.4,,,0.0,0.0,0.0,0.0,9.1,1.3
state_building,epa,2009-02-03,valid,110-111,18.7,4.4,0.5,1.7,0.6,,,0.0,0.0,0.0,0.0,13.4,1.8
state_building,epa,2009-02-05,valid,110-111,43.1,7.2,0.8,4.6,0.9,,,0.0,0.0,0.0,0.0,26.9,3.2
state_building,epa,2009-02-06,no_or_incomplete_cmb_dataset,110-111,,,,,,,,,,,,,
state_building,epa,2009-02-07,valid,110-111,32.6,6.2,0.7,3.4,0.8,,,0.0,0.0,0.0,0.0,22.7,2.8
state_building,epa,2009-02-09,valid,110-111,12.3,2.0,0.2,1.3,0.3,,,0.0,0.0,0.0,0.0,8.5,1.2
state_building,epa,2009-02-12,valid,110-111,18.6,2.7,0.3,2.4,0.4,,,0.0,0.0,1.5,0.8,12.5,1.8
state_building,epa,2009-02-15,valid,110-111,29.6,5.3,0.7,3.4,0.7,,,7.6,3.8,0.0,0.0,14.6,2.4
state_building,epa,2009-02-18,valid,110-111,23.3,4.8,0.6,1.7,0.6,,,0.0,0.0,0.0,0.0,16.5,4.3
state_building,epa,2009-02-21,valid,110-111,15.6,3.0,0.4,1.2,0.4,,,0.0,0.0,0.0,0.0,11.7,1.6
state_building,epa,2009-02-24,valid,110-111,19.6,3.2,0.4,2.3,0.5,,,4.5,2.2,0.0,0.0,9.1,2.1
state_building,epa,2009-02-27,valid,110-111,6.9,1.6,0.2,0.6,0.2,,,0.0,0.0,0.0,0.0,4.7,1.4
