candidate_case_id,site,date,aqs_site_id,aqs_parameter_code,aqs_poc,appendix_c_pm25_mass_ug_m3,aqs_sass_pm25_mass_ug_m3,absolute_difference_ug_m3,matches_report_precision,method_code,method_name,inference_limit
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88502,6,40.0,39.9,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-11,state_building,2008-11-11,02-090-0010,88502,6,31.9,31.8,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-14,state_building,2008-11-14,02-090-0010,88502,6,52.1,52,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-17,state_building,2008-11-17,02-090-0010,88502,6,20.7,20.7,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-20,state_building,2008-11-20,02-090-0010,88502,6,16.8,16.8,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-23,state_building,2008-11-23,02-090-0010,88502,6,23.4,23.4,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-26,state_building,2008-11-26,02-090-0010,88502,6,22.0,22,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-11-29,state_building,2008-11-29,02-090-0010,88502,6,16.4,16.4,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-02,state_building,2008-12-02,02-090-0010,88502,6,47.0,46.9,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-05,state_building,2008-12-05,02-090-0010,88502,6,31.0,30.9,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-11,state_building,2008-12-11,02-090-0010,88502,6,18.9,18.9,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-14,state_building,2008-12-14,02-090-0010,88502,6,39.0,38.9,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-17,state_building,2008-12-17,02-090-0010,88502,6,34.9,34.9,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-20,state_building,2008-12-20,02-090-0010,88502,6,26.1,26.1,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-23,state_building,2008-12-23,02-090-0010,88502,6,47.5,47.5,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-26,state_building,2008-12-26,02-090-0010,88502,6,15.9,15.9,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2008-12-29,state_building,2008-12-29,02-090-0010,88502,6,66.0,66,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-01,state_building,2009-01-01,02-090-0010,88502,6,28.2,28.2,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-04,state_building,2009-01-04,02-090-0010,88502,6,37.3,37.2,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-07,state_building,2009-01-07,02-090-0010,88502,6,63.7,63.7,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
