candidate_case_id,site,date,aqs_site_id,parameter_code,report_species_name,aqs_parameter_name,value,units,sample_duration,method_code,method_name,historical_cmb_input_identity,receptor_uncertainty
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88102,Antimony,Antimony PM2.5 LC,0,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88103,Arsenic,Arsenic PM2.5 LC,0.00222,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88104,Aluminum,Aluminum PM2.5 LC,0.002,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88107,Barium,Barium PM2.5 LC,0,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88109,Bromine,Bromine PM2.5 LC,0.0052,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88110,Cadmium,Cadmium PM2.5 LC,0,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88111,Calcium,Calcium PM2.5 LC,0.0524,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88112,Chromium,Chromium PM2.5 LC,0.002,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88113,Cobalt,Cobalt PM2.5 LC,0,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,not proven,not present in AirData daily file
fairbanks_state_building_2008-11-08,state_building,2008-11-08,02-090-0010,88114,Copper,Copper PM2.5 LC,0.0052,Micrograms/cubic meter (LC),24 HOUR,811,Met One SASS/SuperSASS Teflon - Energy dispersive XRF,not proven,not present in AirData daily file
