candidate_case_id,site,date,sampling_duration,pm_size_fraction,aqs_site_id,cmb_sample_id,epa_status,omni_status,epa_wood_smoke_ug_m3,epa_wood_smoke_se_ug_m3,omni_wood_smoke_ug_m3,omni_wood_smoke_se_ug_m3,omni_no2_fuel_oil_ug_m3,revised_omni_available,source_universe_identical,profile_choice_isolated,levoglucosan_sample_id,radiocarbon_sample_id,external_reference_same_sample,disposition,reason
fairbanks_north_pole_2009-01-25,north_pole,2009-01-25,24 hours,PM2.5,,not published,valid,valid,29.9,3.3,30.0,2.4,6.3,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-01-28,north_pole,2009-01-28,24 hours,PM2.5,,not published,valid,valid,10.7,1.4,8.5,1.1,3.1,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-01-31,north_pole,2009-01-31,24 hours,PM2.5,,not published,valid,valid,7.4,0.9,5.6,0.8,2.2,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-03,north_pole,2009-02-03,24 hours,PM2.5,,not published,valid,valid,14.0,1.7,13.6,1.0,0.0,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-05,north_pole,2009-02-05,24 hours,PM2.5,,not published,valid,valid,23.8,3.0,21.7,1.8,6.5,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-06,north_pole,2009-02-06,24 hours,PM2.5,,not published,valid,valid,18.3,2.4,20.1,1.8,4.9,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-07,north_pole,2009-02-07,24 hours,PM2.5,,not published,valid,valid,53.5,5.8,48.4,2.7,0.0,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-09,north_pole,2009-02-09,24 hours,PM2.5,,not published,valid,valid,5.3,0.7,5.7,0.6,0.0,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-12,north_pole,2009-02-12,24 hours,PM2.5,,not published,valid,valid,24.5,3.1,22.2,1.6,4.0,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
fairbanks_north_pole_2009-02-15,north_pole,2009-02-15,24 hours,PM2.5,,not published,valid,valid,28.4,3.2,22.6,1.7,4.6,no,no,no,not published,not published,not recoverable from published tables,HOLD,EPA-versus-OMNI changes the source universe by adding No. 2 fuel oil; Busby publishes paired analyses but not the exact site/date/sample-ID crosswalk.
