system,profile_id,source_family,description,origin,fit_statement,numerical_vector_status,uncertainty_status,busby_cmb_use,profile_choice_status,notes
EPA,54,residential_wood,"Residential wood smoke from Medford OR",SPECIATE_421042.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,55,residential_wood,"Residential wood smoke from Pocatello ID",SPECIATE_421052.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,56,residential_wood,"Residential wood combustion supplied by Missoula",Missoula_late_1980s,best_fitting_across_sites,not_published_in_Ward,not_published,yes,not_admissible,"Busby comparison used the EPA/Missoula system; exact vector is missing"
EPA,57,residential_wood,"Residential wood combustion",SPECIATE_423182.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,58,residential_wood,"Residential wood combustion composite",SPECIATE_423032.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,59,residential_wood,"Composite of residential woodburning sources",SPECIATE_423302.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,60,residential_wood,"Wood stoves - average all fuels",SPECIATE_421022.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,61,residential_wood,"Wood stoves - pine fuels",SPECIATE_421012.5,good_statistical_fit,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Named in Ward discussion"
EPA,62,residential_wood,"Residential wood burning profile 1",SPECIATE_3235,good_statistical_fit,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Named in Ward discussion"
EPA,63,residential_wood,"Residential wood burning profile 2",SPECIATE_3236,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,64,residential_wood,"Residential wood burning profile 3",SPECIATE_3238,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,65,residential_wood,"Residential wood burning profile 4",SPECIATE_3239,good_statistical_fit,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Named in Ward discussion"
EPA,66,residential_wood,"Residential wood burning profile 5",SPECIATE_3240,good_statistical_fit,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Named in Ward discussion"
EPA,67,residential_wood,"Residential wood burning profile 6",SPECIATE_3769,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,68,residential_wood,"Residential wood burning profile 7",SPECIATE_3770,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,69,residential_wood,"Residential wood combustion composite",SPECIATE_423192.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,70,residential_wood,"Residential woodstove composite",SPECIATE_423312.5,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,71,residential_wood,"Residential wood combustion hard/soft composite",SPECIATE_91031,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,72,residential_wood,"Residential wood combustion hard/soft N/A composite",SPECIATE_91032,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,73,residential_wood,"Residential wood combustion soft composite",SPECIATE_91033,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,74,residential_wood,"Residential wood combustion hard simplified",SPECIATE_92067,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,75,residential_wood,"Residential wood combustion hard/soft simplified",SPECIATE_92068,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,76,residential_wood,"Residential wood combustion hard/soft N/A simplified",SPECIATE_92069,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,77,residential_wood,"Residential wood combustion synthetic simplified",SPECIATE_92071,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Listed in Ward Table 1"
EPA,78,biomass,"Wildfires simplified",SPECIATE_92090,not_individually_reported,not_recovered,historical_snapshot_not_verified,possible,not_admissible,"Grouped with wood profiles in Ward Table 1"
OMNI,FBK100,residential_wood,"EPA wood stove birch low",Fairbanks_OMNI_trial,statistically_significant_and_used,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,not_admissible,"Same-family candidate exists but exact sample selector is missing"
OMNI,FBK101,residential_wood,"EPA OWHH birch low",Fairbanks_OMNI_trial,statistically_significant_and_used,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,not_admissible,"Same-family candidate exists but exact sample selector is missing"
OMNI,FBK102,residential_wood,"Conventional wood stove birch low",Fairbanks_OMNI_trial,statistically_significant_and_used,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,not_admissible,"Same-family candidate exists but exact sample selector is missing"
OMNI,FBK103,fuel_oil,"Oil burner No. 2 fuel oil",Fairbanks_OMNI_trial,consistently_identified,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,system_change,"This added source prevents EPA-versus-OMNI from isolating wood-profile choice"
OMNI,FBK104,coal,"Coal stove wet stoker coal low",Fairbanks_OMNI_trial,not_identified,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,system_change,"Non-wood universe differs"
OMNI,FBK105,coal,"Coal household wet stoker single",Fairbanks_OMNI_trial,not_identified,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,system_change,"Non-wood universe differs"
OMNI,FBK106,waste_oil,"Waste-oil burner single",Fairbanks_OMNI_trial,not_identified,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,system_change,"Non-wood universe differs"
OMNI,FBK107,residential_wood,"EPA wood stove spruce low",Fairbanks_OMNI_trial,best_statistical_fit,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,not_admissible,"Best OMNI wood profile generally; exact per-day selector is missing"
OMNI,FBK108,coal,"Coal stove dry lump coal low",Fairbanks_OMNI_trial,not_identified,published_Ward_Appendix_A,"default 0.0001; -99 missing",no,system_change,"Non-wood universe differs"
