site,season,date,radiocarbon_record_public,included_in_cmb_comparison_group,cmb_group_id,cmb_group_n,sample_level_cmb_value_public,sample_level_endpoint_mapping_public,disposition,source_ids
IAP,winter,2016-11-22,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-11-24,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-11-26,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-12-01,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-12-02,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-12-03,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,winter,2016-12-04,yes,yes,IAP_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-05-24,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-05-26,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-05-27,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-06-10,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-06-16,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
IAP,summer,2017-06-17,yes,yes,IAP_summer,6,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-11-22,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-11-24,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-11-26,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-12-01,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-12-02,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-12-03,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,winter,2016-12-04,yes,yes,PG_winter,7,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,summer,2017-05-26,yes,yes,PG_summer,5,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,summer,2017-05-27,yes,yes,PG_summer,5,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,summer,2017-06-10,yes,yes,PG_summer,5,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,summer,2017-06-16,yes,yes,PG_summer,5,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
PG,summer,2017-06-17,yes,yes,PG_summer,5,no,no,HOLD,aphh_edata_572;xu_2021_multimethod
