site,date,pm25_ug_m3,radiocarbon_wood_smoke_min_pct,radiocarbon_wood_smoke_max_pct,cmb_wood_smoke_pct,cmb_status,cmb_relative_to_14c_interval,cmb_minus_14c_midpoint_pp,distance_to_14c_interval_pp,source_id,source_table
State Building,2011-11-17,32.8,39.3,47.3,73.9,reported,above,30.60,26.6,ward_2013_0301_wayback,Table 12
State Building,2011-11-20,34.2,36.0,43.4,,not_conducted,,,,ward_2013_0301_wayback,Table 12
State Building,2011-12-17,37.3,33.9,40.9,81.1,reported,above,43.70,40.2,ward_2013_0301_wayback,Table 12
State Building,2011-12-29,31.8,32.7,39.4,77.7,reported,above,41.65,38.3,ward_2013_0301_wayback,Table 12
State Building,2012-01-01,23.3,30.0,36.1,,not_conducted,,,,ward_2013_0301_wayback,Table 12
State Building,2012-01-04,14.3,33.1,39.9,79.1,reported,above,42.60,39.2,ward_2013_0301_wayback,Table 12
State Building,2012-01-28,36.8,14.2,17.1,65.0,reported,above,49.35,47.9,ward_2013_0301_wayback,Table 12
State Building,2012-02-18,25.6,21.4,25.8,70.9,reported,above,47.30,45.1,ward_2013_0301_wayback,Table 12
State Building,2012-03-10,9.5,22.9,27.6,62.8,reported,above,37.55,35.2,ward_2013_0301_wayback,Table 12
State Building,2012-03-19,10.6,22.8,27.5,65.0,reported,above,39.85,37.5,ward_2013_0301_wayback,Table 12
North Pole,2011-11-20,82.6,66.6,78.1,86.9,reported,above,14.55,8.8,ward_2013_0301_wayback,Table 12
North Pole,2011-12-17,36.4,45.3,54.5,90.1,reported,above,40.20,35.6,ward_2013_0301_wayback,Table 12
North Pole,2011-12-26,38.3,37.9,45.0,92.1,reported,above,50.65,47.1,ward_2013_0301_wayback,Table 12
North Pole,2011-12-29,34.1,55.3,66.6,90.0,reported,above,29.05,23.4,ward_2013_0301_wayback,Table 12
North Pole,2012-01-01,33.5,37.8,45.5,89.8,reported,above,48.15,44.3,ward_2013_0301_wayback,Table 12
North Pole,2012-01-28,64.9,33.1,39.8,88.8,reported,above,52.35,49.0,ward_2013_0301_wayback,Table 12
North Pole,2012-02-18,29.2,42.3,51.0,88.9,reported,above,42.25,37.9,ward_2013_0301_wayback,Table 12
North Pole,2012-03-04,26.0,70.6,82.0,69.9,reported,below,-6.40,0.7,ward_2013_0301_wayback,Table 12
North Pole,2012-03-10,11.1,69.6,80.0,81.3,reported,above,6.50,1.3,ward_2013_0301_wayback,Table 12
North Pole,2012-03-19,18.3,69.3,82.4,84.3,reported,above,8.45,1.9,ward_2013_0301_wayback,Table 12
RAMS,2011-12-26,45.0,21.0,25.3,84.1,reported,above,60.95,58.8,ward_2013_0301_wayback,Table 12
RAMS,2011-12-29,24.6,48.7,58.7,77.9,reported,above,24.20,19.2,ward_2013_0301_wayback,Table 12
RAMS,2012-01-01,21.3,46.8,56.3,48.9,reported,inside,-2.65,0.0,ward_2013_0301_wayback,Table 12
RAMS,2012-02-18,25.9,35.7,43.0,49.2,reported,above,9.85,6.2,ward_2013_0301_wayback,Table 12
NCORE,2011-11-17,38.1,36.2,43.6,81.3,reported,above,41.40,37.7,ward_2013_0301_wayback,Table 12
NCORE,2011-11-20,30.4,49.1,59.2,61.4,reported,above,7.25,2.2,ward_2013_0301_wayback,Table 12
NCORE,2011-12-17,29.7,44.6,53.7,54.5,reported,above,5.35,0.8,ward_2013_0301_wayback,Table 12
NCORE,2011-12-26,24.9,41.8,50.3,44.3,reported,inside,-1.75,0.0,ward_2013_0301_wayback,Table 12
NCORE,2011-12-29,23.6,49.1,59.1,68.5,reported,above,14.40,9.4,ward_2013_0301_wayback,Table 12
NCORE,2012-01-01,28.0,37.5,45.2,83.3,reported,above,41.95,38.1,ward_2013_0301_wayback,Table 12
NCORE,2012-01-04,33.6,10.2,12.3,92.8,reported,above,81.55,80.5,ward_2013_0301_wayback,Table 12
NCORE,2012-01-28,28.1,29.1,35.0,73.8,reported,above,41.75,38.8,ward_2013_0301_wayback,Table 12
NCORE,2012-02-18,26.9,38.1,45.9,49.8,reported,above,7.80,3.9,ward_2013_0301_wayback,Table 12
NCORE,2012-03-04,13.1,42.6,51.3,56.4,reported,above,9.45,5.1,ward_2013_0301_wayback,Table 12
NCORE,2012-03-10,9.8,46.9,56.6,69.4,reported,above,17.65,12.8,ward_2013_0301_wayback,Table 12
NCORE,2012-03-19,12.1,37.0,44.6,69.6,reported,above,28.80,25.0,ward_2013_0301_wayback,Table 12
NPF3,2012-03-04,37.4,76.9,87.2,80.8,reported,inside,-1.25,0.0,ward_2013_0301_wayback,Table 12
NPF3,2012-03-10,20.5,56.5,68.1,86.4,reported,above,24.10,18.3,ward_2013_0301_wayback,Table 12
NPF3,2012-03-19,27.8,60.0,72.3,67.7,reported,inside,1.55,0.0,ward_2013_0301_wayback,Table 12
