source_id,title,url,retrieval_date,sha256,bytes,rights_status,repository_action,evidence_use,notes
ward_2013_0301_wayback,"Ward et al. Fairbanks CMB report, 1 March 2013 archived version",https://web.archive.org/web/20131230105641id_/http://dec.alaska.gov/air/anpms/comm/docs/fbxSIPpm2-5/Fairbanks_CMB_Report_Univ_MT_Final_030113.pdf,2026-09-21,d546f2eec1fe69f871302cee0ec01190fa5add438875a83b1b08b0e98e1d1c03,797536,"ADEC public report; redistribution terms not stated",derived_rows_committed,"Table 12 exact-date 2011/2012 radiocarbon and CMB comparison","Raw PDF retained outside GitHub"
ward_2013_1223_7083,"Ward et al. Fairbanks CMB final report, current ADEC-linked binary",https://dec.alaska.gov/media/7083/fairbanks-cmb-report-univ-mt-final-122313.pdf,2026-09-21,037ff139329d154bf55bbdbc61b4f6403678372ef5d3525b74ffdb0f6a67fa0f,2972382,"ADEC public report; redistribution terms not stated",metadata_only,"Current 171-page final-report binary; electronic-package identifiers","Binary differs from the independently indexed ADEC re-export"
ward_2013_1223_17116,"Ward et al. Fairbanks CMB final report, ADEC re-export",https://dec.alaska.gov/media/17116/fairbanks-cmb-final-report-122313.pdf,2026-09-21,9d71371a413b517a4cbaa441be01477bab4ef58d831aac55caab5c0658ca534e,3282497,"ADEC public report; redistribution terms not stated",metadata_only,"Independent 171-page final-report binary; prior Cycle 02 source","Content-equivalent report; binary differs from media/7083"
adec_online_services,ADEC Online Services and Public Records Request,https://dec.alaska.gov/online-services/,2026-09-21,,,Alaska government webpage,link_only,"Current public-record request route","Links the downloadable Public Records Request form"
adec_public_records_form,ADEC Public Records Request form,https://dec.alaska.gov/media/x5yl25jk/public-records-request-form.docx,2026-09-21,,,Alaska government form,link_only,"Current request form","Automated retrieval was blocked by the site's browser challenge; link verified from the official Online Services page"
adec_air_data_requests,ADEC Air Quality data requests,https://dec.alaska.gov/air/air-monitoring/responsibilities/database-management,2026-09-21,,,Alaska government webpage,link_only,"Air Monitoring and Quality Assurance data-request routing","Lists amqa-data-request@alaska.gov for other monitoring-data requests"
adec_contacts,ADEC contacts,https://dec.alaska.gov/contact/,2026-09-21,,,Alaska government webpage,link_only,"Division and Fairbanks program contact verification","Used only to route the unsent draft"
barrett_2015_article,"Barrett et al. Source contributions to wintertime elemental and organic carbon in the western Arctic",https://doi.org/10.1021/acs.est.5b03081,2026-09-21,,,Publisher article,metadata_only,"Barrow methods and provenance","Raw publisher article not committed"
barrett_2015_si,"Barrett et al. supporting information",https://acs.figshare.com/articles/journal_contribution/Source_Contributions_to_Wintertime_Elemental_and_Organic_Carbon_in_the_Western_Arctic_Based_on_Radiocarbon_and_Tracer_Apportionment/2125396,2026-09-21,14aa663cb2a1b0d8c83d5c8249f47234123bde349bff48090cb03971d1087a65,2216864,CC BY-NC 4.0,derived_rows_committed,"Tables S1-S3; exact four-interval CMB/radiocarbon crosswalk","Raw PDF retained outside GitHub; Figshare MD5 matched"
barrett_2015_si_acs,"Barrett et al. official ACS supporting information",https://pubs.acs.org/esthag/article-supplement/1480314/pdf/es5b03081_si_001/,2026-09-21,05484065cba94746e4f048d6dd34d5c9cbf16552d876428f9c2801fb446fc165,2250685,Publisher supporting information,metadata_only,"Independent byte-level cross-check of Tables S1-S3","Content-equivalent publisher rendering; raw PDF retained outside GitHub"
