search_id,scope,scope_id,query_or_location,method,result_count,candidate_artifact_count,result_ids,result_ids_sha256,exact_artifact_found,checked_date,evidence,scope_limit
drive_exact_full_version,Google Drive bridge root,1PAkw7SDbEU951HcThwr4QRb87IM1T1xD,R4.3.30R3nR7-AE,Drive keyword search topn=100,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,no,2026-09-21,"No result returned","Accessible Drive search only"
drive_exact_short_version,Google Drive bridge root,1PAkw7SDbEU951HcThwr4QRb87IM1T1xD,R3nR7-AE,Drive keyword search topn=100,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,no,2026-09-21,"No result returned","Accessible Drive search only"
drive_name_contains_r3n,Google Drive accessible documents,all_accessible_drives,name contains 'R3n',Drive metadata document search with raw name filter topn=100,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,no,2026-09-21,"No filename containing R3n returned","Accessible Drive metadata only"
drive_active_baseline,Google Drive folder,1dr9OYN9fAu_nbvf1TuXWSud9n3AEjYiG,00_ACTIVE_BASELINE,Direct folder listing top_k=100,1,0,1y12bVa7qAKyUiT0PzPpl41Jd7Sx1IT5B,216f27fa72a7ed937d3c06f8e959f6b42065ffe0b5e03d00aa8e44f2444165d4,no,2026-09-21,"ACTIVE_BASELINE_POINTER.md only; pointer states the exact binary/source is unavailable","Direct children only"
drive_manuscript_history,Google Drive folder,1nI9p7s_9MGAbrossDU9f_K3f5c1bixSn,05_MANUSCRIPT_HISTORY,Direct folder listing top_k=100,5,0,"1CjNFpfwAno-aDxCJQIq3rn0lHBnJlPhN;1EZOrRc0syIBa6OQdalVtBqfvsmQHa2nu;1IF0s13LBsK1CWWO3OFsXUv8XiYuVLirZ;1LWtKk2Sqn94EfPb1B5DKuw6jptyX6tiK;1P5dwT9qiKQOeA6NLpiKypB1NZ4L0GxiA",342095b9d003c70690247c4fcaab8ce0a421c6ecf0400f1a41e8272853b52e98,no,2026-09-21,"R3l; R3f; R3a; R2; R4.3.15; all historical","Direct children only"
drive_archive,Google Drive folder,1IEu-ZXTByxW_wwbuKvn2DXGVGl0vj95W,99_ARCHIVE,Direct folder listing top_k=100,3,0,"10pGmIwWBuzmb_cAW3-A_RMribIym4Frj;1hzpIRy17PXx-ULKhLs269e9k1EbLyuhY;1tYYt4Y2QiVKlFQCewcjtDilUPLcP4ksn",d05ea838742f9fdd4d6eb1bc89823ceecc6707b76b5ecf3417a395433242e73c,no,2026-09-21,"Cycle 01 ZIP and sidecar plus NFRAQS pre-review ZIP","Direct children only"
drive_code_execution,Google Drive folder,11gvLtX-t3zaLc2HxLS2gDBCm_tOgz7f_,06_CODE_EXECUTION,Direct folder listing top_k=100,1,0,1byQwvb32qiqvqsaDJycECW-p6_u2TZ7A,dc5aa53213afbf778c279de6b6c779f0844773c0cda7532e400f92325b257d40,no,2026-09-21,"PFFLS_NFRAQS_R3o_Colab_Return.zip only","Direct children only"
drive_external_validation,Google Drive folder,1x34RiGUka7D4yzqlbSQnXDzt-DTEdg5Q,03_EXTERNAL_VALIDATION,Direct folder listing top_k=100,1,0,1L4cTAqWvtFu_96hrGc48YBEpLWLafLbf,14b950408b10d7bef498aa0eab544df177bef6f5b839682de8ba1f29980d940e,no,2026-09-21,"NFRAQS reviewed final ZIP only","Direct children only"
drive_search_repro,Google Drive accessible corpus,all_accessible_drives,PFFLS reproducibility,Drive keyword search topn=100,13,0,"1-aKARnrIOaaStGKU9ehyCNMEdghAWrcXpvsootz-Mvs;1bTN9mcsUtFdnt7h1bDvDN9yRrDT7KqOG;1CjNFpfwAno-aDxCJQIq3rn0lHBnJlPhN;1EZOrRc0syIBa6OQdalVtBqfvsmQHa2nu;1ipv_sIuXbi-IRaOr_2kpFcUrwFbW86J2;1iQXx0q8q9-WZ2JYqojeq098KNbekUD5QpGx91VjobHw;1LWtKk2Sqn94EfPb1B5DKuw6jptyX6tiK;1mFdaHqNnYhe5VxvNNeq0NgQan_qVs0yt;1P5dwT9qiKQOeA6NLpiKypB1NZ4L0GxiA;1plkAuOhU8YWyYyW6gv4TcdO2CmWqe-TK4HmV02vb0rw;1WRyA2vxgrgIYv0YAEMKZPgH8SAdHN8za;1xRHf4mLv1cWEtjvgLt75CvHYiZKDfNfM;1YKTA2aV3dbEGMYNenNU1jxc-oUeL25ac",b32e82f20086dc13af8f07309a8cc9d4a8e5beb5b255b17ccb9e8f787ace34d7,no,2026-09-21,"Historical manuscripts and project documents plus two unrelated fuzzy matches; no central executable archive","Keyword search is fuzzy and corpus-wide"
drive_search_jrc,Google Drive accessible corpus,all_accessible_drives,JRC Round-2,Drive keyword search topn=100,7,0,"1bp-ACkMBIZTVrZ44r1tAOEV3fVAXfgoF;1CjNFpfwAno-aDxCJQIq3rn0lHBnJlPhN;1EZOrRc0syIBa6OQdalVtBqfvsmQHa2nu;1LWtKk2Sqn94EfPb1B5DKuw6jptyX6tiK;1P5dwT9qiKQOeA6NLpiKypB1NZ4L0GxiA;1Uoh7izXc3jTACweemMMe-cRRsB_LFmKg;1xRHf4mLv1cWEtjvgLt75CvHYiZKDfNfM",88ce9c39fb5d66f27cbe5212aae469510f3fb0e7bcb070d9e864701ef1ab82e4,no,2026-09-21,"Historical manuscripts and project handoff/state documents only","Keyword search is fuzzy and corpus-wide"
