profile_set,EL1_percent_reference_mass,mean_reduced_chi2,median_R2,all_three_pass_percent,nonconverged_samples,IL1_percent_mean_observed_PM
W3-V2,3.25,0.0508,0.9961,85.4,0,7.92
W3-V3,14.56,0.0684,0.9953,85.1,2,7.95
W3-V4,18.79,0.0711,0.9939,83.5,0,9.74
W4-V2,2.27,0.0528,0.9963,84.1,0,7.63
W4-V3,14.03,0.0747,0.9953,85.2,0,7.69
W4-V4,19.51,0.0804,0.9938,84.1,0,9.56
W5-V2,4.52,0.0517,0.9964,84.3,0,7.49
W5-V3,14.83,0.0741,0.9953,85.2,0,7.11
W5-V4,19.78,0.0821,0.9935,83.8,0,9.18
W6-V2,4.76,0.0512,0.9965,82.7,0,8.71
W6-V3,17.01,0.0731,0.9952,84.3,0,8.11
W6-V4,24.24,0.0809,0.9935,83.0,0,10.65
