edge_id,source_family,profile_a_id,profile_b_id,common_species_basis,fixed_other_profiles,selector_name,selector_value_a_published,selector_value_b_published,fit_favored_endpoint,reference_status,reference_distance_a_EL1_percent,reference_distance_b_EL1_percent,reference_closer_endpoint,discordance,selection_regret_pp_from_published_values,mean_reduced_chi2_gap_from_published_values,reconstruction_status
E01,Wood,W3-V2,W4-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0508,0.0528,W3-V2,published campaign-level point reference,3.25,2.27,W4-V2,True,0.98,0.0020000000000000018,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E02,Wood,W3-V2,W5-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0508,0.0517,W3-V2,published campaign-level point reference,3.25,4.52,W3-V2,False,0.0,0.000900000000000005,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E03,Wood,W3-V2,W6-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0508,0.0512,W3-V2,published campaign-level point reference,3.25,4.76,W3-V2,False,0.0,0.0004000000000000045,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E04,Wood,W4-V2,W5-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0528,0.0517,W5-V2,published campaign-level point reference,2.27,4.52,W4-V2,True,2.2499999999999996,0.0010999999999999968,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E05,Wood,W4-V2,W6-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0528,0.0512,W6-V2,published campaign-level point reference,2.27,4.76,W4-V2,True,2.4899999999999998,0.0015999999999999973,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E06,Wood,W5-V2,W6-V2,38 species,vehicle=V2; other six source categories fixed,lower mean reduced chi-square,0.0517,0.0512,W6-V2,published campaign-level point reference,4.52,4.76,W5-V2,True,0.2400000000000002,0.0005000000000000004,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E07,Wood,W3-V3,W4-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0684,0.0747,W3-V3,published campaign-level point reference,14.56,14.03,W4-V3,True,0.5300000000000011,0.0063,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E08,Wood,W3-V3,W5-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0684,0.0741,W3-V3,published campaign-level point reference,14.56,14.83,W3-V3,False,0.0,0.005699999999999997,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E09,Wood,W3-V3,W6-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0684,0.0731,W3-V3,published campaign-level point reference,14.56,17.01,W3-V3,False,0.0,0.004699999999999996,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E10,Wood,W4-V3,W5-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0747,0.0741,W5-V3,published campaign-level point reference,14.03,14.83,W4-V3,True,0.8000000000000007,0.0006000000000000033,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E11,Wood,W4-V3,W6-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0747,0.0731,W6-V3,published campaign-level point reference,14.03,17.01,W4-V3,True,2.980000000000002,0.0016000000000000042,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E12,Wood,W5-V3,W6-V3,38 species,vehicle=V3; other six source categories fixed,lower mean reduced chi-square,0.0741,0.0731,W6-V3,published campaign-level point reference,14.83,17.01,W5-V3,True,2.1800000000000015,0.0010000000000000009,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E13,Wood,W3-V4,W4-V4,38 species,vehicle=V4; other six source categories fixed,lower mean reduced chi-square,0.0711,0.0804,W3-V4,published campaign-level point reference,18.79,19.51,W3-V4,False,0.0,0.009300000000000003,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E14,Wood,W3-V4,W5-V4,38 species,vehicle=V4; other six source categories fixed,lower mean reduced chi-square,0.0711,0.0821,W3-V4,published campaign-level point reference,18.79,19.78,W3-V4,False,0.0,0.01100000000000001,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E15,Wood,W3-V4,W6-V4,38 species,vehicle=V4; other six source categories fixed,lower mean reduced chi-square,0.0711,0.0809,W3-V4,published campaign-level point reference,18.79,24.24,W3-V4,False,0.0,0.009800000000000003,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E16,Wood,W4-V4,W5-V4,38 species,vehicle=V4; other six source categories fixed,lower mean reduced chi-square,0.0804,0.0821,W4-V4,published campaign-level point reference,19.51,19.78,W4-V4,False,0.0,0.001700000000000007,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
E17,Wood,W4-V4,W6-V4,38 species,vehicle=V4; other six source categories fixed,lower mean reduced chi-square,0.0804,0.0809,W4-V4,published campaign-level point reference,19.51,24.24,W4-V4,False,0.0,0.0005000000000000004,derived from displayed set-level values; canonical unrounded comparison ledger not present in this release
