central,alternative,descriptor,archive_description,eligible,nonconverged,converged
SOIL03,SOIL08,PAVED ROAD,VISALIA PAVED ROAD,35,0,35
SOIL03,SOIL12,PAVED ROAD,BAKERSFIELD PAVED ROAD,35,0,35
SOIL03,SOIL29,PAVED ROAD,CROWS LANDING PAVED ROAD,35,0,35
BAMAJC,MAFISC,CORDWOOD,"BAKERSFIELD CORDWOOD, FISHER MAMA BEAR STOVE",35,13,22
BAMAJC,MAMAJC,CORDWOOD,"MAMMOTH LAKES CORDWOOD, MAJESTIC FIREPLACE",35,7,28
SFCRUC,CHCRUC,CRUDE BOILER,CHEVRON RACETRACK CRUDE BOILER (KERN RIVER OILFIELD),30,0,30
MOVES2,MOVES1,MOVES,"MOVES-SS(NEA-E,WOB,T42,TVMT)",35,0,35
MOVES2,MOVES3,MOVES,"MOVES-SCAB(ARB-E,WOB,WOT,CM)",35,1,34
MOVES2,MOVES4,MOVES,"MOVES-SCAB(NEA-E,WOB,WOT,CM)",35,0,35
MOVES2,MOVES5,MOVES,"MOVES-SCAB(NEA-E,WB1,T42,CM)",35,1,34
